training_case_id,view_type_seed,view_label_source
batch1_2115307,cut_surface,p2_manual
batch1_2119188,mixed,p2_manual
batch1_2119433,mixed,p2_manual
batch1_2120121,mixed,p2_manual
batch1_2200732,cut_surface,p2_manual
batch1_2202262,cut_surface,p1_heuristic
batch1_2202269,mixed,p2_manual
batch1_2202752,cut_surface,p1_heuristic
batch1_2203368,cut_surface,p1_heuristic
batch1_2207409,mixed,p2_manual
batch1_2208096,cut_surface,p2_manual
batch1_2211090,mixed,p2_manual
batch1_2214165,cut_surface,p1_heuristic
batch1_2214223,mixed,p2_manual
batch1_2214945,mixed,p1_heuristic
batch1_2215103,cut_surface,p2_manual
batch1_2215167,cut_surface,p2_manual
batch1_2306927,mixed,p2_manual
batch1_2307206,cut_surface,p1_heuristic
batch1_2404744,cut_surface,p1_heuristic
batch1_2407584,outer_surface,p1_heuristic
batch1_2409120,cut_surface,p1_heuristic
batch1_2415355,cut_surface,p1_heuristic
batch1_2416012,cut_surface,p1_heuristic
batch1_2422397,cut_surface,p2_manual
batch1_2500696,mixed,p2_manual
batch1_2510266,cut_surface,p2_manual
batch2_2112417,mixed,p2_manual
batch2_2116739,cut_surface,p1_heuristic
batch2_2118344,cut_surface,p1_heuristic
batch2_2120109,mixed,p2_manual
batch2_2200835,mixed,p2_manual
batch2_2201508,cut_surface,p2_manual
batch2_2202031,mixed,p2_manual
batch2_2202302,cut_surface,p2_manual
batch2_2202468,cut_surface,p2_manual
batch2_2205439,cut_surface,p2_manual
batch2_2206029,cut_surface,p1_heuristic
batch2_2206144,mixed,p1_heuristic
batch2_2206452,mixed,p2_manual
batch2_2207835,mixed,p1_heuristic
batch2_2208027,mixed,p2_manual
batch2_2212556,mixed,p1_heuristic
batch2_2301805,mixed,p2_manual
batch2_2302206,mixed,p2_manual
batch2_2303703,mixed,p2_manual
batch2_2307709,cut_surface,p2_manual
batch2_2403676,outer_surface,p2_manual
batch2_2404423,cut_surface,p2_manual
batch2_2406258,cut_surface,p2_manual
batch2_2409869,cut_surface,p2_manual
batch2_2410565,mixed,p2_manual
batch2_2412958,cut_surface,p2_manual
batch2_2414021,unclear,p2_manual
batch2_2419639,cut_surface,p2_manual
batch2_2420745,outer_surface,p2_manual
batch2_2508294,mixed,p2_manual
batch2_2600961,mixed,p2_manual
