domain,case_id,original_case_id,final_pred,prob_mean_core,v185_auto_decision,v185_review_or_reject,v195_release_from_review,v195_auto_decision,v195_review_or_reject,v195_plus_release_from_review,v195_plus_new_release_vs_v195,v195_plus_auto_decision,v195_plus_review_or_reject,v195_plus_release_reason,v195_plus_releasing_candidate_n,v195_plus_releasing_candidate_ids,v195_plus_policy_id,task_l6_label,label_idx,v195_auto_error,v195_auto_high_risk_fn,v195_plus_auto_error,v195_plus_auto_high_risk_fn,v195_plus_new_release_error,v195_plus_new_release_high_risk_fn
old_data,batch1_2114928,2114928,0,0.3315778750082984,False,True,False,False,True,False,False,False,True,not_released,0,,phase2_min10_both_domain_union,A,0,False,False,False,False,False,False
old_data,batch1_2300002,2300002,0,0.6944681546045653,False,True,True,True,False,True,False,True,False,v195_selected_release,2,v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.990,phase2_min10_both_domain_union,A,0,False,False,False,False,False,False
old_data,batch1_2417646,2417646,0,0.555908700784263,False,True,True,True,False,True,False,True,False,v195_selected_release,1,v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985,phase2_min10_both_domain_union,A,0,False,False,False,False,False,False
old_data,batch1_2516511,2516511,0,0.4736974229482123,False,True,True,True,False,True,False,True,False,v195_selected_release,3,v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.995;v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.990;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985,phase2_min10_both_domain_union,A,0,False,False,False,False,False,False
old_data,batch1_2118456,2118456,0,0.2062271847854728,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,AB,0,False,False,False,False,False,False
old_data,batch1_2201094,2201094,0,0.3940465150017522,False,True,False,False,True,False,False,False,True,not_released,0,,phase2_min10_both_domain_union,AB,0,False,False,False,False,False,False
old_data,batch1_2204698,2204698,0,0.211313147463044,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,AB,0,False,False,False,False,False,False
old_data,batch1_2116945,2116945,0,0.1239846391369687,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,B1,0,False,False,False,False,False,False
old_data,batch1_2208476,2208476,0,0.5517876239452123,False,True,False,False,True,True,True,True,False,phase2_min10_both_domain_union,1,v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.990,phase2_min10_both_domain_union,B1,0,False,False,False,False,False,False
old_data,batch1_2301513,2301513,0,0.4727030557868724,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,B1,0,False,False,False,False,False,False
old_data,batch1_2405355,2405355,0,0.6575033303879007,False,True,True,True,False,True,False,True,False,v195_selected_release,3,v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.990;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.990,phase2_min10_both_domain_union,B1,0,False,False,False,False,False,False
old_data,batch1_2112512,2112512,1,0.7178027765203064,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,B2,1,False,False,False,False,False,False
old_data,batch1_2211193,2211193,1,0.8698856048196634,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,B2,1,False,False,False,False,False,False
old_data,batch1_2306927,2306927,1,0.439008219400997,False,True,True,True,False,True,False,True,False,v195_selected_release,4,v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.995;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.990;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.995,phase2_min10_both_domain_union,B2,1,False,False,False,False,False,False
old_data,batch1_2425514,2425514,1,0.8254422652116101,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,B2,1,False,False,False,False,False,False
old_data,batch1_2114833,2114833,1,0.7226402895368932,False,True,False,False,True,False,False,False,True,not_released,0,,phase2_min10_both_domain_union,B3,1,False,False,False,False,False,False
old_data,batch1_2201143,2201143,1,0.6456566851082939,False,True,False,False,True,False,False,False,True,not_released,0,,phase2_min10_both_domain_union,B3,1,False,False,False,False,False,False
old_data,batch1_2214223,2214223,1,0.5463536039424575,False,True,True,True,False,True,False,True,False,v195_selected_release,3,v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.990;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.995,phase2_min10_both_domain_union,B3,1,False,False,False,False,False,False
old_data,batch1_2407584,2407584,1,0.7796431055346004,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,B3,1,False,False,False,False,False,False
old_data,batch1_2115647,2115647,1,0.7461600663158866,False,True,False,False,True,False,False,False,True,not_released,0,,phase2_min10_both_domain_union,TC,1,False,False,False,False,False,False
old_data,batch1_2202752,2202752,1,0.5951201781981088,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,TC,1,False,False,False,False,False,False
old_data,batch1_2205101,2205101,1,0.9535027118616276,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,TC,1,False,False,False,False,False,False
old_data,batch1_2214165,2214165,1,0.9431040436580964,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,TC,1,False,False,False,False,False,False
old_data,batch2_2114896,2114896,0,0.2493221027888477,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,A,0,False,False,False,False,False,False
old_data,batch2_2304324,2304324,1,0.7586991883027903,False,True,False,False,True,False,False,False,True,not_released,0,,phase2_min10_both_domain_union,A,0,False,False,False,False,False,False
old_data,batch2_2414792,2414792,0,0.6197892741991561,False,True,True,True,False,True,False,True,False,v195_selected_release,4,v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.990;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.990;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.995,phase2_min10_both_domain_union,A,0,False,False,False,False,False,False
old_data,batch2_2505099,2505099,0,0.415024094122036,False,True,False,False,True,True,True,True,False,phase2_min10_both_domain_union,1,v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.990,phase2_min10_both_domain_union,A,0,False,False,False,False,False,False
old_data,batch2_2524091,2524091,0,0.7592046036699545,False,True,True,True,False,True,False,True,False,v195_selected_release,4,v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.990;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.990;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.995,phase2_min10_both_domain_union,A,0,False,False,False,False,False,False
old_data,batch2_2108946,2108946,0,0.814319859018254,False,True,True,True,False,True,False,True,False,v195_selected_release,6,v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.995;v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.985;v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.990;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.990;v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.995,phase2_min10_both_domain_union,AB,0,False,False,False,False,False,False
old_data,batch2_2113744,2113744,0,0.3332356927232689,False,True,False,False,True,True,True,True,False,phase2_min10_both_domain_union,1,v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.990,phase2_min10_both_domain_union,AB,0,False,False,False,False,False,False
old_data,batch2_2116739,2116739,0,0.0943726080174808,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,AB,0,False,False,False,False,False,False
old_data,batch2_2119496,2119496,0,0.2391506150108368,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,AB,0,False,False,False,False,False,False
old_data,batch2_2203717,2203717,0,0.3656465124671514,False,True,False,False,True,True,True,True,False,phase2_min10_both_domain_union,1,v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.990,phase2_min10_both_domain_union,AB,0,False,False,False,False,False,False
old_data,batch2_2206807,2206807,0,0.2300271961348658,True,False,False,True,False,False,False,True,False,v185_already_auto,0,,phase2_min10_both_domain_union,AB,0,False,False,False,False,False,False
